type,type2,type3,region_2024,unit,election,list,lists_national,listmin,listmax,candidates,ifp_candidates,ifp_seats,dm,as,as2,enpv,enps,enpv_national,enps_national,sp,spm,logmag,polarization_district,polarization_national,dif,dif2,ethnic_frac,ethnic_number,ethnic_presence,av_id,Rae,LH,Lijphart_1,Lijphart_2,Gallagher,Cox_Shugart,Mainwaring_Jones,Chhibber_Kollman,votes,subunits,percent_ind
Concejales,Concejales 2004-2021,Concejales - 2004,8,Mulchen,2004,6,5,1.747500926,44.71677157,18,3,0,6,6,2144,2.94,2,2.43,2.63,36,1.817120593,1.791759469,3.049385026,2.993691376,3.06,0.94,0.206392549,2.261834983,11.61440578,5.003262342,0.07,0.2,0.14,0.13,0.44,0.7,88.457,-0.035,13505,1,16.66666667
Concejales,Concejales 2004-2021,Concejales - 2004,8,Nacimiento,2004,5,5,3.684341548,49.82988964,16,2,0,6,6,2144,2.77,1.8,2.43,2.63,36,1.817120593,1.791759469,2.457008876,2.993691376,2.23,0.97,0.117552266,1.274498479,6.239787194,4.99942593,0.08,0.19,0.17,0.14,0.44,0.66,88.457,-0.035,12051,1,12.5
Concejales,Concejales 2004-2021,Concejales - 2004,6,Nancagua,2004,4,5,3.200296553,56.07314964,18,1,0,6,6,2144,2.47,2,2.43,2.63,36,1.817120593,1.791759469,2.774369889,2.993691376,1.53,0.47,0.085565473,0.690802098,4.452419671,4.977709572,0.06,0.13,0.11,0.1,0.35,0.77,88.457,-0.035,8093,1,5.555555556
Concejales,Concejales 2004-2021,Concejales - 2004,12,Natales,2004,7,5,0.979820366,53.64516505,17,4,0,6,6,2144,2.75,1.8,2.43,2.63,36,1.817120593,1.791759469,2.039466903,2.993691376,4.25,0.95,0.426694735,10.48336472,29.45010942,5.000644118,0.06,0.21,0.13,0.15,0.46,0.72,88.457,-0.035,8573,1,23.52941176
Concejales,Concejales 2004-2021,Concejales - 2004,6,Navidad,2004,4,5,2.836684109,59.68052878,18,1,0,6,6,2144,2.33,2,2.43,2.63,36,1.817120593,1.791759469,2.530051779,2.993691376,1.67,0.33,0.094511059,0.866838805,4.939015209,4.958828966,0.04,0.07,0.07,0.06,0.27,0.84,88.457,-0.035,3631,1,5.555555556
Concejales,Concejales 2004-2021,Concejales - 2004,8,Negrete,2004,7,5,2.943129011,42.13321531,17,4,0,6,6,2144,3.22,2,2.43,2.63,36,1.817120593,1.791759469,2.824994256,2.993691376,3.78,1.22,0.151469801,2.191397599,8.205812879,5.001877897,0.07,0.23,0.15,0.14,0.48,0.68,88.457,-0.035,4519,1,23.52941176
Concejales,Concejales 2004-2021,Concejales - 2004,16,Ninhue,2004,4,5,6.466279363,42.51073503,17,1,0,6,6,2144,2.96,2.57,2.43,2.63,36,1.817120593,1.791759469,3.622858141,2.993691376,1.04,0.39,0.057143143,0.296270478,2.934970267,5.005094505,0.05,0.09,0.07,0.06,0.31,0.78,88.457,-0.035,3959,1,5.882352941
Concejales,Concejales 2004-2021,Concejales - 2004,16,Ñiquen,2004,6,5,1.185137732,54.35618193,17,3,0,6,6,2144,2.32,1.8,2.43,2.63,36,1.817120593,1.791759469,2.26733754,2.993691376,3.68,0.52,0.053796509,0.73548726,2.761836442,5.007210239,0.04,0.12,0.12,0.11,0.35,0.82,88.457,-0.035,6244,1,17.64705882
Concejales,Concejales 2004-2021,Concejales - 2004,5,Nogales,2004,6,5,1.305040845,44.79976091,20,3,0,6,6,2144,3.19,2.57,2.43,2.63,36,1.817120593,1.791759469,3.165711868,2.993691376,2.81,0.62,0.10678381,0.73961078,5.578661844,4.982149777,0.04,0.13,0.08,0.08,0.36,0.8,88.457,-0.035,10038,1,15
Concejales,Concejales 2004-2021,Concejales - 2004,9,Nueva Imperial,2004,5,5,1.183649463,45.46390237,19,1,0,6,6,2144,2.74,2,2.43,2.63,36,1.817120593,1.791759469,2.32088272,2.993691376,2.26,0.74,0.501184716,53.41870741,56.24730852,5.004979274,0.07,0.16,0.12,0.12,0.41,0.73,88.457,-0.035,13602,1,5.263157895
